id,item1,item2,item3,solution,Solving item,Solving item,Mean solution time (sec),SD,Solving Item,Mean solution time (sec),SD,Solving Item,Mean solution time (sec),SD
1,cottage,swiss,cake,cheese,52,84,3.28,1.25,96,3.96,2.37,064*,10.85,7.04
2,cream,skate,water,ice,34,76,3.42,1.16,92,4.04,1.87,90,4.12,3.58
3,loser,throat,spot,sore,22,61,4.19,1.49,86,5.38,3.02,82,6.31,4.06
4,show,life,row,boat,31,72,4.42,1.44,82,5.67,2.34,79,10.3,7.22
5,night,wrist,stop,watch,38,65,4.33,1.31,82,6,3,97,6.27,5.83
6,duck,fold,dollar,bill,31,69,4.33,1.25,80,6.05,2.82,92,6.58,4.28
7,rocking,wheel,high,chair,37,73,3.98,1.43,80,4.98,2.55,87,5.84,5.36
8,dew,comb,bee,honey,30,66,4.24,1.5,80,5.63,3.15,1000,4.12,2.14
9,fountain,baking,pop,soda,34,71,4.25,1.23,78,6.01,2.69,92,5.5,3.3
10,preserve,ranger,tropical,forest,18,59,4,1.34,76,5.76,2.98,85,9.73,6.08
11,aid,rubber,wagon,band,22,56,4.21,1.5,75,5.41,2.15,69,6.51,4.62
12,flake,mobile,cone,snow,9,47,4.2,1.61,71,6.72,3.1,79,8.68,7.02
13,cracker,fly,fighter,fire,17,45,4.95,1.54,68,5.91,2.54,85,6.12,3.87
14,safety,cushion,point,pin,24,51,3.91,1.58,66,5.83,2.78,74,5,2.84
15,cane,daddy,plum,sugar,19,60,4.43,1.53,66,6.14,3.11,97,5.45,4.92
16,dream,break,light,day,24,56,4.36,1.49,64,5.35,2.56,56,7.91,6.72
17,fish,mine,rush,gold,17,46,4.27,1.09,63,6.48,3.32,74,9.07,6.83
18,political,surprise,line,party,7,26,5.06,1.29,61,7.84,3.43,90,8.79,5.2
19,measure,worm,video,tape,10,45,4.74,1.59,58,6.12,2.9,87,8.36,5.24
20,high,district,house,school/court,18,42,4.36,1.34,55,5.59,2.45,74,8.9,7.75
21,sense,courtesy,place,common,8,33,4.67,1.29,54,6.28,2.89,67,9.24,8.11
22,worm,shelf,end,book,17,49,4.31,1.38,53,5.88,2.9,85,6.76,6.25
23,piece,mind,dating,game,6,19,5.61,1.22,53,7.83,2.41,46,15.34,7.78
24,flower,friend,scout,girl,9,22,5.26,1.47,51,8.06,2.94,67,11.43,7.7
25,river,note,account,bank,2,29,5.64,0.99,50,7.98,2.81,79,10.53,5.88
26,print,berry,bird,blue,10,38,4.91,1.47,49,7.18,3.77,77,13.24,7.94
27,pie,luck,belly,pot,15,38,4.35,0.93,49,5.31,2.03,44,8.68,4.36
28,date,alley,fold,blind,13,40,4.51,1.22,47,6.99,3.33,85,7.06,5.42
29,opera,hand,dish,soap,16,33,5.26,1.41,47,6.54,3.11,62,7.92,6.45
30,cadet,capsule,ship,space,18,34,4.13,1.49,47,5.53,2.78,74,5.46,3.96
31,fur,rack,tail,coat,2,16,5.42,1.35,46,7.89,3.49,79,8,6.76
32,stick,maker,point,match,1,4,5.42,1.23,46,6.65,3.46,21,12.19,8.15
33,hound,pressure,shot,blood,4,32,4.51,1.43,42,6.48,3.94,72,6.98,5.32
34,fox,man,peep,hole,16,41,4.23,1.32,42,5.7,2.61,64,7.06,4.8
35,sleeping,bean,trash,bag,27,68,4.02,1.59,41,5.94,3.11,82,6.8,6.36
36,dust,cereal,fish,bowl,11,24,4.43,1.78,41,6.39,3.29,49,9.53,6.64
37,light,birthday,stick,candle,8,36,5.14,1.65,41,7.97,3.02,46,9.74,6.83
38,food,forward,break,fast,4,24,4.75,1.58,41,7.54,3.24,82,7.73,5.77
39,shine,beam,struck,moon,3,22,4.55,1.8,41,6.08,2.62,62,6.17,4.93
40,peach,arm,tar,pit,15,39,3.86,1.27,41,5,2.39,67,10.01,7.97
41,water,mine,shaker,salt,12,28,4.93,1.43,41,7.45,2.85,85,7.85,3.37
42,palm,shoe,house,tree,12,25,4.84,1.72,41,7.79,3.19,51,13.9,7.9
43,basket,eight,snow,ball,7,25,5.27,1.14,39,9.57,3.57,72,10.87,7.18
44,wheel,hand,shopping,cart,16,31,5.08,1.36,39,7.96,3.33,49,10.65,6.2
45,right,cat,carbon,copy,6,25,4.84,1.78,39,7.45,3.14,46,11.88,7.43
46,home,sea,bed,sick,3,16,5.03,1.56,38,7.63,2.48,†10†,5.83,2.77
47,nuclear,feud,album,family,3,16,4.7,1.49,37,8.29,3.22,85,9.48,5.47
48,sandwich,house,golf,club,4,16,5.31,1.29,36,7.01,2.96,82,9.1,4.95
49,cross,rain,tie,bow,3,18,5.54,1.24,34,8.56,3.25,46,13.75,8.39
50,sage,paint,hair,brush,8,28,5.3,1.35,34,7.04,2.72,69,9.88,6.87
51,french,car,shoe,horn,9,29,4.9,1.49,34,6.88,2.57,69,12.58,8.71
52,boot,summer,ground,camp,17,41,3.94,1.21,33,4.67,2.11,54,4.46,2.32
53,chamber,mask,natural,gas,7,26,3.93,1.13,33,5.86,2.25,44,5.27,4.9
54,mill,tooth,dust,saw,10,25,4.18,1.29,33,6.58,3.71,51,7.13,5.45
55,main,sweeper,light,street,12,32,4.7,1.35,33,5.73,2.82,64,7.7,5.65
56,pike,coat,signal,turn,4,16,4.61,1.71,33,6.8,3.58,64,12.55,9.68
57,office,mail,hat,box,2,14,6.03,0.83,32,8.26,3.74,21,17.23,7.6
58,fly,clip,wall,paper,9,34,5.09,1.53,32,7.29,3.21,49,11.02,7.49
59,age,mile,sand,stone,11,27,5.02,1.25,32,8.35,2.83,44,16.61,8.67
60,catcher,food,hot,dog,3,14,4.62,1.39,30,8.04,3.26,46,10.22,5.54
61,wagon,break,radio,station,13,19,5.36,1.2,30,7.88,3.31,51,14.57,8.77
62,tank,hill,secret,top,2,15,5.81,0.59,30,10.13,3.1,38,11.2,5.82
63,health,taker,less,care,2,12,5.04,2.08,29,7.76,3.11,44,10.58,7.26
64,lift,card,mask,face,7,21,5.17,1.25,29,7.55,3.31,33,12.79,7.72
65,dress,dial,flower,sun,4,15,4.45,1.62,29,5.79,2.74,51,7.78,5.72
66,force,line,mail,air,10,27,3.94,1.25,28,7.52,4.06,28,13.9,7.76
67,guy,rain,down,fall,3,12,5.03,1.73,28,9.42,3.52,41,13.3,8.12
68,eight,skate,stick,figure,4,16,4.66,1.22,28,5.78,2.65,59,5.55,4.18
69,down,question,check,mark,9,21,4.86,1.52,28,7.92,3.37,54,11.35,7.1
70,animal,back,rat,pack,7,26,5.06,1.17,28,8.86,3.79,49,10.72,7.08
71,officer,cash,larceny,petty,4,18,4.69,1.35,28,5.8,2.77,44,9.49,7.44
72,pine,crab,sauce,apple,6,16,4.57,1.24,26,7.23,3.11,33,14.97,8.41
73,house,thumb,pepper,green,7,20,4.45,1.43,26,7.71,3.24,49,12.59,7.6
74,carpet,alert,ink,red,4,32,4.66,1.6,26,6.4,2.83,59,11.02,8.14
75,master,toss,finger,ring,4,26,4.85,1.85,26,7.83,2.73,51,14.68,7.17
76,hammer,gear,hunter,head,1,14,4.67,1.45,25,8.35,3.4,56,8.13,5.18
77,knife,light,pal,pen,8,16,5.02,1.4,25,6.56,3.43,62,9.19,7.14
78,foul,ground,mate,play,2,6,4.81,1.26,25,8.12,2.87,46,9.33,6.85
79,change,circuit,cake,short,8,26,4.11,1.62,25,5.9,3.03,41,10.07,9.38
80,way,board,sleep,walk,11,25,5.15,1.25,25,7.85,3.5,64,11.45,8.44
81,blank,list,mate,check,7,19,5.1,1.47,24,7.43,2.65,51,6.12,2.57
82,tail,water,flood,gate,8,16,4.75,1.66,24,7.48,2.52,36,10.23,7.47
83,marshal,child,piano,grand,8,26,4.72,1.21,24,6.58,2.28,38,8.4,6.22
84,cover,arm,wear,under,2,19,4.74,1.49,24,7.53,3.44,36,13.71,5.9
85,rain,test,stomach,acid,1,12,5.85,0.92,22,8.65,3.56,31,13.64,7.7
86,time,blown,nelson,full,7,18,5.46,1.24,22,7.06,2.57,44,10.69,6.5
87,pile,market,room,stock,7,20,4.52,1.51,22,6.16,3.03,44,7.42,4.84
88,mouse,bear,sand,trap,3,28,5.15,1.2,22,7.17,3.46,72,7.63,6.27
89,cat,number,phone,call,1,14,5.77,1.14,21,9.45,2.82,54,11.74,7
90,keg,puff,room,powder,9,16,4.85,1.98,21,8.27,3.95,62,6.44,4.33
91,trip,house,goal,field,1,13,5.15,1.12,18,7.01,2.79,13,8.02,3.57
92,fork,dark,man,pitch,1,9,5.76,1.21,18,7.91,2.95,18,16.59,7.33
93,fence,card,master,post,1,12,4.98,1.44,18,6.33,2.66,13,18.69,11.21
94,test,runner,map,road,2,6,5.82,0.82,18,8.98,4.2,44,10.98,7.76
95,dive,light,rocket,sky,2,8,4.92,1.8,18,7.19,3.01,21,8.87,5.6
96,man,glue,star,super,0,9,4.8,1.57,18,6.65,3.48,41,9.83,7.18
97,tooth,potato,heart,sweet,1,12,3.71,0.85,18,6.38,3.74,28,11.77,7.73
98,illness,bus,computer,terminal,1,5,5.98,0.77,18,7.42,1.74,18,11.43,5.82
99,type,ghost,screen,writer,1,18,5.2,1.2,18,8.02,2.58,54,9.37,7.08
100,mail,board,lung,black,0,5,5.28,0.94,17,7.47,3.69,18,14.67,9.22
101,teeth,arrest,start,false,6,12,5.34,1.36,17,6.87,3.95,44,11.46,7.67
102,iron,shovel,engine,steam,6,16,4.27,1.43,17,6.98,1.99,49,9.22,6.28
103,wet,law,business,suit,10,16,4.67,1.25,17,8.27,3.43,59,11.24,8.46
104,rope,truck,line,tow,4,16,4.67,1.51,17,7.56,2.96,21,14.58,6.94
105,off,military,first,base,1,12,4.81,1.68,16,8.13,3.88,31,11.36,8.72
106,spoon,cloth,card,table,1,6,4.63,1.6,16,8.84,3.22,26,13.8,10.55
107,cut,cream,war,cold,1,12,3.85,1.3,14,7.85,4.05,31,13.94,9.32
108,note,chain,master,key,0,6,5.89,0.57,14,8.08,4.39,26,12.68,5.3
109,shock,shave,taste,after,1,7,4.12,1.54,13,7.6,3.42,31,10.84,7.93
110,wise,work,tower,clock,3,11,4.85,1.41,13,9.04,3.92,13,13.32,7.85
111,grass,king,meat,crab,3,9,5.16,1.21,13,6.79,2.29,23,14.2,6.8
112,baby,spring,cap,shower,7,16,4.62,1.45,13,7.99,3.33,28,7.58,5.56
113,break,bean,cake,coffee,6,18,4.92,1.88,12,8.31,4.09,33,14.04,6.9
114,cry,front,ship,battle,2,9,4.7,1.59,11,8.2,2.87,18,13.69,9.78
115,hold,print,stool,foot,3,15,4.48,1.34,11,8.51,4.2,41,8.62,4.33
116,roll,bean,fish,jelly,0,11,4.39,1.51,11,4.03,1.42,26,13.24,6.16
117,horse,human,drag,race,8,32,5.03,1.37,11,7.39,2.01,56,12.14,6.67
118,oil,bar,tuna,salad,1,7,6.12,1.01,11,9.63,2.88,41,17.05,7.2
119,bottom,curve,hop,bell,2,1,4.16,–,9,6.25,2.08,46,7.73,6.8
120,tomato,bomb,picker,cherry,6,14,5.44,1.01,9,10.28,4.07,46,7,4.24
121,pea,shell,chest,nut,2,9,4.54,1.61,9,5.78,1.41,23,14.08,9.12
122,line,fruit,drunk,punch,1,4,5.06,0.27,9,6.91,2.2,†10†,16.24,3.37
123,bump,egg,step,goose,4,4,6.02,0.83,8,7.68,4.57,‡,‡,‡
124,fight,control,machine,gun,0,9,5.93,0.94,8,8.7,3.09,28,13.92,6.28
125,home,arm,room,rest,0,5,5.11,2.09,8,9.9,2.32,21,13.48,7.1
126,child,scan,wash,brain,0,1,7,–,7,8.43,3.91,†14†,12.18,4.68
127,nose,stone,bear,brown,1,2,6.83,0.24,7,9.36,2.79,26,16.11,9.12
128,end,line,lock,dead,1,5,4.97,1.4,7,10.06,3.18,‡,‡,‡
129,control,place,rate,birth,0,1,6.35,–,5,6.09,2.58,†14†,10.25,13
130,lounge,hour,napkin,cocktail,0,5,5.05,1.44,5,12.55,1.86,†10†,7.82,2.96
131,artist,hatch,route,escape,2,2,3.5,0.26,5,9.22,4.42,†15†,9.42,7.83
132,pet,bottom,garden,rock,7,6,5.56,0.8,5,10.94,3.16,†19†,8.95,6.82
133,mate,shoes,total,running,0,4,6.11,1.54,5,5.79,3.47,†10†,23.47,5.17
134,self,attorney,spending,defense,1,4,4,2.01,4,8.42,4.83,†10†,13.28,3.74
135,board,blade,back,switch,1,6,5.74,1.46,4,10.8,3.24,†29†,16.14,9.45
136,land,hand,house,farm,0,1,5.61,–,3,8.2,0.54,0,–,–
137,hungry,order,belt,money,0,0,–,–,3,11.56,0.45,0,–,–
138,forward,flush,razor,straight,1,2,4.79,2,3,11.45,3.14,5,3.89,–
139,shadow,chart,drop,eye,0,1,5.34,–,1,0.56,–,15†,12.03,4.13
140,way,ground,weather,fair,0,5,5.53,1.39,1,3.11,–,10,17.04,5.48
141,cast,side,jump,broad,0,1,3.56,–,0,–,–,5,10.81,–
142,back,step,screen,door,0,2,5.47,0.53,0,–,–,33†,7.73,2.57
143,reading,service,stick,lip,1,1,6.11,–,0,–,–,10,9.57,8
144,over,plant,horse,power,0,1,5.45,–,0,–,–,10,18.3,5.26
